,pokedex_number,generation,is_sub_legendary,is_legendary,is_mythical,type_number,height_m,weight_kg,abilities_number,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,egg_type_number,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
0,1,1,0,0,0,2,0.7,6.9,2,318.0,45.0,49.0,49.0,65.0,65.0,45.0,45.0,70.0,64.0,2,87.5,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
1,2,1,0,0,0,2,1.0,13.0,2,405.0,60.0,62.0,63.0,80.0,80.0,60.0,45.0,70.0,142.0,2,87.5,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2,3,1,0,0,0,2,2.0,100.0,2,525.0,80.0,82.0,83.0,100.0,100.0,80.0,45.0,70.0,236.0,2,87.5,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
3,3,1,0,0,0,2,2.4,155.5,1,625.0,80.0,100.0,123.0,122.0,120.0,80.0,45.0,70.0,281.0,2,87.5,20.0,1.0,1.0,0.5,0.5,0.25,1.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
4,4,1,0,0,0,1,0.6,8.5,2,309.0,39.0,52.0,43.0,60.0,50.0,65.0,45.0,70.0,62.0,2,87.5,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
5,5,1,0,0,0,1,1.1,19.0,2,405.0,58.0,64.0,58.0,80.0,65.0,80.0,45.0,70.0,142.0,2,87.5,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
6,6,1,0,0,0,2,1.7,90.5,2,534.0,78.0,84.0,78.0,109.0,85.0,100.0,45.0,70.0,240.0,2,87.5,20.0,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5
7,6,1,0,0,0,2,1.7,110.5,1,634.0,78.0,130.0,111.0,130.0,85.0,100.0,45.0,70.0,285.0,2,87.5,20.0,1.0,0.25,1.0,0.5,0.25,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0
8,6,1,0,0,0,2,1.7,100.5,1,634.0,78.0,104.0,78.0,159.0,115.0,100.0,45.0,70.0,285.0,2,87.5,20.0,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5
9,7,1,0,0,0,1,0.5,9.0,2,314.0,44.0,48.0,65.0,50.0,64.0,43.0,45.0,70.0,63.0,2,87.5,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
10,8,1,0,0,0,1,1.0,22.5,2,405.0,59.0,63.0,80.0,65.0,80.0,58.0,45.0,70.0,142.0,2,87.5,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
11,9,1,0,0,0,1,1.6,85.5,2,530.0,79.0,83.0,100.0,85.0,105.0,78.0,45.0,70.0,239.0,2,87.5,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
12,9,1,0,0,0,1,1.6,101.1,1,630.0,79.0,103.0,120.0,135.0,115.0,78.0,45.0,70.0,284.0,2,87.5,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
13,10,1,0,0,0,1,0.3,2.9,2,195.0,45.0,30.0,35.0,20.0,20.0,45.0,255.0,70.0,39.0,1,50.0,15.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
14,11,1,0,0,0,1,0.7,9.9,1,205.0,50.0,20.0,55.0,25.0,25.0,30.0,120.0,70.0,72.0,1,50.0,15.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
15,12,1,0,0,0,2,1.1,32.0,2,395.0,60.0,45.0,50.0,90.0,80.0,70.0,45.0,70.0,178.0,1,50.0,15.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
16,13,1,0,0,0,2,0.3,3.2,2,195.0,40.0,35.0,30.0,20.0,20.0,50.0,255.0,70.0,39.0,1,50.0,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
17,14,1,0,0,0,2,0.6,10.0,1,205.0,45.0,25.0,50.0,25.0,25.0,35.0,120.0,70.0,72.0,1,50.0,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
18,15,1,0,0,0,2,1.0,29.5,2,395.0,65.0,90.0,40.0,45.0,80.0,75.0,45.0,70.0,178.0,1,50.0,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
19,15,1,0,0,0,2,1.4,40.5,1,495.0,65.0,150.0,40.0,15.0,80.0,145.0,45.0,70.0,223.0,1,50.0,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
20,16,1,0,0,0,2,0.3,1.8,3,251.0,40.0,45.0,40.0,35.0,35.0,56.0,255.0,70.0,50.0,1,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
21,17,1,0,0,0,2,1.1,30.0,3,349.0,63.0,60.0,55.0,50.0,50.0,71.0,120.0,70.0,122.0,1,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
22,18,1,0,0,0,2,1.5,39.5,3,479.0,83.0,80.0,75.0,70.0,70.0,101.0,45.0,70.0,216.0,1,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
23,18,1,0,0,0,2,2.2,50.5,1,579.0,83.0,80.0,80.0,135.0,80.0,121.0,45.0,70.0,261.0,1,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
24,19,1,0,0,0,1,0.3,3.5,3,253.0,30.0,56.0,35.0,25.0,35.0,72.0,255.0,70.0,51.0,1,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
25,19,1,0,0,0,2,0.3,3.8,3,253.0,30.0,56.0,35.0,25.0,35.0,72.0,255.0,70.0,51.0,1,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
26,20,1,0,0,0,1,0.7,18.5,3,413.0,55.0,81.0,60.0,50.0,70.0,97.0,127.0,70.0,145.0,1,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
27,20,1,0,0,0,2,0.7,25.5,3,413.0,75.0,71.0,70.0,40.0,80.0,77.0,127.0,70.0,145.0,1,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
28,21,1,0,0,0,2,0.3,2.0,2,262.0,40.0,60.0,30.0,31.0,31.0,70.0,255.0,70.0,52.0,1,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
29,22,1,0,0,0,2,1.2,38.0,2,442.0,65.0,90.0,65.0,61.0,61.0,100.0,90.0,70.0,155.0,1,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
30,23,1,0,0,0,1,2.0,6.9,3,288.0,35.0,60.0,44.0,40.0,54.0,55.0,255.0,70.0,58.0,2,50.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
31,24,1,0,0,0,1,3.5,65.0,3,448.0,60.0,95.0,69.0,65.0,79.0,80.0,90.0,70.0,157.0,2,50.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
32,25,1,0,0,0,1,0.4,6.0,2,320.0,35.0,55.0,40.0,50.0,50.0,90.0,190.0,70.0,112.0,2,50.0,10.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
33,25,1,0,0,0,1,0.4,6.0,1,430.0,45.0,80.0,50.0,75.0,60.0,120.0,190.0,70.0,112.0,0,50.0,10.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
